filtro;tp;sl;protecao_pct;trades;gains;losses;protegidos;timeouts;fim_dados;positivos;negativos;taxa_gain_pct;taxa_sem_loss_pct;resultado_total;media_trade;profit_factor;drawdown_max;maior_seq_losses;tempo_medio_s;sinais_ignorados_posicao_aberta
AJUSTE_EQ_12;2000;1500;0.8;128;58;56;9;5;0;58;61;45,3125;56,25;29350,0;229,296875;1,3387189844200809;-13550,0;5;537,90625;13
AJUSTE_GE_8;2000;1500;0.6;183;74;80;18;11;0;79;86;40,43715846994535;56,28415300546448;29325,0;160,24590163934425;1,2367305751765894;-16425,0;5;1530,344262295082;22
AJUSTE_GE_8;1600;1500;0.7;191;92;79;10;10;0;96;85;48,167539267015705;58,638743455497384;28275,0;148,0366492146597;1,2310520939734424;-14125,0;5;1418,2303664921467;14
AJUSTE_EQ_12;1200;1200;0.5;137;76;51;6;4;0;76;55;55,47445255474452;62,77372262773723;28225,0;206,02189781021897;1,44819372766971;-7200,0;4;446,86131386861314;4
AJUSTE_EQ_12;1200;1200;0.6;137;76;51;6;4;0;76;55;55,47445255474452;62,77372262773723;28225,0;206,02189781021897;1,44819372766971;-7200,0;4;446,86131386861314;4
TODAS;1800;1800;0.5;282;128;112;25;17;0;136;121;45,39007092198582;60,283687943262414;27800,0;98,58156028368795;1,1318160265528687;-33600,0;5;1172,5744680851064;42
AJUSTE_EQ_12;1200;1200;0.7;137;76;51;5;5;0;76;56;55,47445255474452;62,77372262773723;27350,0;199,63503649635035;1,4283476898981988;-7200,0;4;446,86131386861314;4
AJUSTE_GE_8;2000;1500;0.8;182;76;84;11;11;0;81;90;41,75824175824176;53,84615384615385;27325,0;150,13736263736263;1,2103946102021175;-13050,0;5;1544,0549450549452;23
TODAS;2000;1800;0.8;267;119;116;14;18;0;127;126;44,56928838951311;56,554307116104866;27225,0;101,96629213483146;1,124272509414584;-33775,0;5;1255,4157303370787;57
AJUSTE_EQ_12;1600;1500;0.8;134;70;55;4;5;0;70;60;52,23880597014925;58,95522388059702;26850,0;200,37313432835822;1,3153258954785672;-10950,0;4;489,2835820895522;7
AJUSTE_EQ_12;1400;1500;0.5;137;74;50;9;4;0;74;54;54,01459854014598;63,503649635036496;26825,0;195,8029197080292;1,3493975903614457;-7875,0;4;451,13138686131384;4
AJUSTE_EQ_12;1800;1500;0.8;131;63;56;7;5;0;63;61;48,091603053435115;57,25190839694657;26750,0;204,19847328244273;1,3087132140796307;-12050,0;4;514,0610687022901;10
AJUSTE_EQ_12;1600;1500;SEM_PROTECAO;134;71;57;0;6;0;72;62;52,985074626865675;57,46268656716418;26500,0;197,76119402985074;1,3006239364719228;-10850,0;5;504,8955223880597;7
AJUSTE_EQ_12;1800;1500;0.7;131;62;55;9;5;0;62;60;47,32824427480916;58,01526717557252;26450,0;201,9083969465649;1,3106283029947152;-12350,0;4;511,206106870229;10
TODAS;1800;1800;0.6;279;129;114;19;17;0;137;123;46,236559139784944;59,13978494623656;26000,0;93,18996415770609;1,121212121212121;-33600,0;5;1185,505376344086;45
AJUSTE_EQ_12;1400;1500;0.6;137;74;50;8;5;0;74;55;54,01459854014598;63,503649635036496;25950,0;189,4160583941606;1,3341918866709594;-8750,0;4;451,13138686131384;4
AJUSTE_GE_8;1800;1500;0.8;185;82;82;10;11;0;87;88;44,32432432432432;55,67567567567568;25925,0;140,13513513513513;1,204334975369458;-14125,0;5;1501,2324324324325;20
AJUSTE_GE_8;1800;1500;0.7;186;81;81;13;11;0;86;87;43,54838709677419;56,45161290322581;25625,0;137,7688172043011;1,2043868394815553;-17425,0;5;1491,6720430107528;19
AJUSTE_EQ_12;1800;1500;SEM_PROTECAO;131;65;60;0;6;0;66;65;49,61832061068702;54,19847328244275;25400,0;193,89312977099237;1,2741500269832704;-15050,0;7;534,587786259542;10
AJUSTE_EQ_12;1200;1200;0.8;135;75;52;3;5;0;75;57;55,55555555555556;61,48148148148148;24950,0;184,8148148148148;1,3835511145272867;-7200,0;4;457,5037037037037;6
AJUSTE_EQ_12;2000;1500;SEM_PROTECAO;127;60;62;0;5;0;60;67;47,24409448818898;51,181102362204726;24350,0;191,73228346456693;1,2545739675901726;-16550,0;7;549,2283464566929;14
TODAS;1600;1800;0.5;288;144;112;17;15;0;150;121;50,0;61,111111111111114;24300,0;84,375;1,1152204836415363;-29600,0;5;1124,6006944444443;36
TODAS;1800;1800;0.7;279;129;115;18;17;0;137;124;46,236559139784944;58,78136200716846;24200,0;86,73835125448029;1,1118816458622285;-33600,0;5;1187,3655913978494;45
AJUSTE_GE_8;1200;1200;0.5;195;101;81;6;7;0;104;85;51,794871794871796;58,46153846153846;23625,0;121,15384615384616;1,2386966405657995;-8950,0;4;1386,0153846153846;10
AJUSTE_GE_8;1200;1200;0.6;195;101;81;6;7;0;104;85;51,794871794871796;58,46153846153846;23625,0;121,15384615384616;1,2386966405657995;-8950,0;4;1386,0153846153846;10
AJUSTE_EQ_12;1600;1800;0.5;137;72;48;11;6;0;72;54;52,55474452554745;64,96350364963503;23600,0;172,26277372262774;1,25764192139738;-11725,0;4;464,54014598540147;4
AJUSTE_GE_8;1400;1500;0.5;194;99;76;10;9;0;103;81;51,03092783505155;60,824742268041234;23550,0;121,3917525773196;1,2012820512820512;-11825,0;4;1400,2422680412371;11
AJUSTE_EQ_12;2000;1800;0.5;129;58;48;16;7;0;58;55;44,96124031007752;62,7906976744186;23525,0;182,36434108527132;1,2543930792105975;-14000,0;4;520,062015503876;12
AJUSTE_GE_8;1800;1500;SEM_PROTECAO;185;85;88;0;12;0;91;94;45,945945945945944;52,432432432432435;23375,0;126,35135135135135;1,172033118675253;-15625,0;6;1518,9783783783785;20
AJUSTE_EQ_12;1400;1500;0.7;135;73;51;6;5;0;73;56;54,074074074074076;62,22222222222222;23050,0;170,74074074074073;1,2912192040429564;-8750,0;4;461,837037037037;6
AJUSTE_GE_8;1200;1200;0.7;195;101;81;5;8;0;104;86;51,794871794871796;58,46153846153846;22750,0;116,66666666666667;1,227841762643966;-9325,0;4;1386,0153846153846;10
AJUSTE_GE_8;1400;1500;0.6;194;99;76;9;10;0;103;82;51,03092783505155;60,824742268041234;22675,0;116,88144329896907;1,1923647932131496;-12700,0;4;1400,2422680412371;11
AJUSTE_GE_8;1600;1500;0.8;190;91;82;7;10;0;95;88;47,89473684210526;56,8421052631579;22175,0;116,71052631578948;1,1747783251231527;-15625,0;5;1429,5578947368422;15
AJUSTE_GE_8;1600;1500;SEM_PROTECAO;189;93;85;0;11;0;98;91;49,20634920634921;55,026455026455025;21925,0;116,005291005291;1,1668886774500475;-13450,0;5;1449,1693121693122;16
AJUSTE_EQ_12;1800;1800;0.5;134;63;48;16;7;0;63;55;47,014925373134325;64,17910447761194;20925,0;156,15671641791045;1,2262773722627738;-14000,0;4;491,1940298507463;7
TODAS;1600;1800;0.6;286;143;113;15;15;0;149;122;50,0;60,48951048951049;20900,0;73,07692307692308;1,0982604607428303;-29600,0;5;1134,3251748251748;38
TODAS;1600;1800;0.7;285;144;114;12;15;0;150;123;50,526315789473685;60,0;20700,0;72,63157894736842;1,0965034965034965;-29600,0;5;1139,3824561403508;39
AJUSTE_GE_8;1200;1200;0.8;193;100;82;3;8;0;103;87;51,81347150259067;57,512953367875646;20350,0;105,44041450777202;1,2013854527461654;-9600,0;5;1403,1917098445597;12
AJUSTE_EQ_12;1200;1200;SEM_PROTECAO;134;74;55;0;5;0;74;60;55,223880597014926;58,95522388059702;20150,0;150,37313432835822;1,2935178441369264;-8400,0;4;470,17910447761193;7
AJUSTE_EQ_12;1400;1500;0.8;135;73;53;4;5;0;73;58;54,074074074074076;60,74074074074074;20050,0;148,5185185185185;1,2440657334144858;-10350,0;4;468,837037037037;6
AJUSTE_GE_8;1400;1500;0.7;192;98;77;7;10;0;102;83;51,041666666666664;59,895833333333336;19775,0;102,99479166666667;1,16565445026178;-12750,0;5;1417,65625;13
AJUSTE_EQ_12;1600;1800;0.6;135;71;49;8;7;0;71;56;52,592592592592595;63,7037037037037;19325,0;143,14814814814815;1,2049854150092814;-12600,0;4;475,36296296296297;6
