variavel;media_movimentos;media_lateral;diferenca;z_vs_lateral;z_absoluto;direcao_comum;movimentos_acima_mediana_lateral;movimentos_abaixo_mediana_lateral;consistencia_5_movimentos;percentil_lateral_medio;percentil_lateral_min;percentil_lateral_max
pre60s_delta_agressor_medio;-0,0671735501064197;-0,007939747476273924;-0,059233802630145785;-0,26181967801594525;0,26181967801594525;ABAIXO_LATERAL;1;4;0,8;0,3788135593220339;0,21610169491525424;0,538135593220339
pre60s_razao_bid_ask;0,9239315526798885;1,1375837644083806;-0,21365221172849214;-0,26078438900079043;0,26078438900079043;ABAIXO_LATERAL;1;4;0,8;0,34576271186440677;0,012711864406779662;0,75
inicio5s_imbalance_medio;1,0285440867156903;1,231488521097226;-0,20294443438153564;-0,2554950239697551;0,2554950239697551;ABAIXO_LATERAL;1;4;0,8;0,3699530516431925;0,18779342723004694;0,6056338028169014
inicio15s_saldo_agressor;2,8;0,26180257510729615;2,5381974248927035;0,22512960363802634;0,22512960363802634;ACIMA_LATERAL;4;1;0,8;0,7570815450643776;0,004291845493562232;0,9484978540772532
inicio10s_preco_var_pts;60,0;2,717391304347826;57,28260869565217;0,17966952591889498;0,17966952591889498;ACIMA_LATERAL;4;1;0,8;0,6130434782608695;0,02608695652173913;0,908695652173913
inicio30s_bid_size_medio;1,3529781999356552;1,5426723324693752;-0,18969413253372003;-0,17841231230370577;0,17841231230370577;ABAIXO_LATERAL;1;4;0,8;0,3644067796610169;0,2245762711864407;0,5508474576271186
pre10s_imbalance_max;4,0;2,997826086956522;1,0021739130434781;0,16431049596939984;0,16431049596939984;ACIMA_LATERAL;4;0;0,8;0,8382608695652174;0,5521739130434783;0,9826086956521739
pre10s_spread_medio;1,3274737073505158;1,3574621224009324;-0,029988415050416606;-0,15984993992518212;0,15984993992518212;ABAIXO_LATERAL;1;4;0,8;0,37217391304347824;0,04782608695652174;0,9869565217391304
inicio10s_imbalance_max;3,0;2,734782608695652;0,26521739130434785;0,1562900794763314;0,1562900794763314;ACIMA_LATERAL;4;0;0,8;0,7904347826086957;0,5347826086956522;0,9130434782608695
pre30s_delta_agressor_medio;-0,04031148146953133;0,007541516467688623;-0,04785299793721995;-0,13990433684956124;0,13990433684956124;ABAIXO_LATERAL;1;4;0,8;0,4203389830508475;0,23728813559322035;0,7372881355932204
inicio15s_delta_var;1,6;0,2017167381974249;1,3982832618025751;0,1264090513116092;0,1264090513116092;ACIMA_LATERAL;4;1;0,8;0,7502145922746781;0,004291845493562232;0,944206008583691
