grupo;feature;qtd_movimentos;qtd_laterais;media_movimentos;mediana_movimentos;media_lateral;mediana_lateral;diferenca;cohen_d;cohen_d_abs;ks_stat;ks_pvalue;mann_whitney_pvalue;direcao;dna_forte_estatistico
QUEDA;pre_60_30s_spread_mediana;84;470;1,1547619047619047;1,25;1,411436170212766;1,5;-0,25667426545086136;-1,2756386495085887;1,2756386495085887;0,45278622087132725;8,77413888437671e-14;9,422009616247613e-15;MENOR_NO_IMPULSO;True
QUEDA;pre_120_60s_spread_medio;84;471;1,129775552270273;1,137592197204969;1,3455976002798833;1,34375;-0,21582204800961025;-1,2637422500278706;1,2637422500278706;0,5316196542311192;3,699375577805355e-19;5,244092880641862e-12;MENOR_NO_IMPULSO;True
QUEDA;pre_60_30s_spread_medio;84;470;1,118120095473598;1,111959087332809;1,3481989941112635;1,3403122303710093;-0,23007889863766562;-1,260557730418344;1,260557730418344;0,5245694022289766;1,2430748865789436e-18;1,0007954974491036e-13;MENOR_NO_IMPULSO;True
QUEDA;pre_60_30s_spread_q90;84;470;1,4050595238095238;1,5;1,6902659574468084;1,75;-0,2852064336372846;-1,2556314066208583;1,2556314066208583;0,47193515704154;5,46565671776741e-15;7,960046941589943e-14;MENOR_NO_IMPULSO;True
QUEDA;pre_120_60s_spread_mediana;84;471;1,1636904761904763;1,25;1,4049893842887473;1,5;-0,24129890809827104;-1,2457609473812026;1,2457609473812026;0,45154686078252954;1,0364572399304653e-13;2,817164236826326e-13;MENOR_NO_IMPULSO;True
QUEDA;pre_30_10s_spread_q90;84;464;1,3982142857142859;1,4874999999999998;1,6860991379310346;1,75;-0,28788485221674875;-1,1901116686258075;1,1901116686258075;0,4698275862068966;8,139614009235126e-15;1,8074839536065598e-13;MENOR_NO_IMPULSO;True
QUEDA;pre_15_0s_spread_pct_acima_1_5;86;458;0,2661869309774165;0,12206112852664577;0,5345378437101047;0,5315824468085106;-0,2683509127326882;-1,164823086295994;1,164823086295994;0,5188382248400528;1,7408804211283397e-18;1,0302606123451792e-14;MENOR_NO_IMPULSO;True
QUEDA;pre_10_0s_spread_min;86;434;0,3866279069767442;0,25;0,7644009216589862;0,75;-0,377773014682242;-1,1640725783924397;1,1640725783924397;0,5410995606044369;5,416655866007044e-20;1,7409314670211384e-20;MENOR_NO_IMPULSO;True
QUEDA;pre_30_0s_spread_mediana;86;470;1,1700581395348837;1,25;1,411968085106383;1,5;-0,24190994557149925;-1,1035699231336473;1,1035699231336473;0,3983176645225136;7,07832033637288e-11;1,2137801813377315e-15;MENOR_NO_IMPULSO;True
QUEDA;pre_5_0s_spread_min;86;347;0,46511627906976744;0,25;0,8688760806916427;0,75;-0,40375980162187525;-1,0989496666986402;1,0989496666986402;0,5224850881308224;8,306051978860664e-18;1,880341198249851e-18;MENOR_NO_IMPULSO;True
