regra_bloqueio,componentes,trades_bloqueados,pct_trades_bloqueados,losses_evitados,gains_perdidos,saldo_eventos,pontos_dos_trades_bloqueados,trades_restantes,resultado_novo,melhoria_resultado,pf_novo,melhoria_pf,expectancia_nova,winrate_novo,dd_novo,reducao_dd,score_rank
(13a_features_tempo_real__last__preco <= 27934.05) E (13a_features_tempo_real__last__preco <= 27961.495),2,119,60.1010101010101,59,60,-1,-12639.999999994325,79,20000.000000004366,12639.999999994325,2.0869565217393675,0.9747613997879949,253.16455696208058,70.88607594936708,4879.999999998836,13279.999999998108,15684.856839866461
(13a_features_tempo_real__last__preco <= 27934.05) E (13a_features_tempo_real__last__preco <= 27989.375),2,119,60.1010101010101,59,60,-1,-12639.999999994325,79,20000.000000004366,12639.999999994325,2.0869565217393675,0.9747613997879949,253.16455696208058,70.88607594936708,4879.999999998836,13279.999999998108,15684.856839866461
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,61,30.808080808080806,33,28,5,-11039.999999997235,137,18400.000000007276,11039.999999997235,1.4693877551022265,0.3571926331508539,134.3065693431188,64.23357664233576,4959.9999999998545,13199.99999999709,15662.31557988673
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.54031236),2,38,19.19191919191919,24,14,10,-11039.99999999869,160,18400.00000000873,11039.99999999869,1.3965517241381191,0.2843566021867465,115.00000000005457,63.74999999999999,8399.999999997817,9759.999999999127,15630.613961310431
(13a_features_tempo_real__last__preco <= 27961.495) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.48870926),2,45,22.727272727272727,27,18,9,-10559.9999999984,153,17920.00000000844,10559.9999999984,1.407272727272919,0.2950776053215465,117.12418300659111,64.05228758169935,6879.999999997381,11279.999999999563,15405.046563191172
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.60099524),2,21,10.606060606060606,17,4,13,-10719.999999999709,177,18080.00000000975,10719.999999999709,1.3476923076924952,0.23549718574112255,102.14689265542232,63.2768361581921,10319.999999997526,7839.999999999418,15393.29831144418
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.48870926),2,22,11.11111111111111,17,5,12,-10479.999999999563,176,17840.000000009604,10479.999999999563,1.3430769230771078,0.2308818011257352,101.36363636369093,63.06818181818182,9199.999999997817,8959.999999999127,15360.5290806747
(13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.41182767),2,46,23.232323232323232,25,21,4,-11119.999999997526,152,18480.000000007567,11119.999999997526,1.4052631578949029,0.29306803594353026,121.57894736847084,62.5,6239.999999997963,11919.999999998981,15345.840821563288
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.78725951),2,30,15.151515151515152,21,9,12,-10799.999999999272,168,18160.000000009313,10799.999999999272,1.3721311475411744,0.2599360255898018,108.09523809529352,63.69047619047619,9999.99999999709,8159.9999999998545,15281.961615353102
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__preco <= 27828.875),2,37,18.68686868686869,23,14,9,-10239.99999999869,161,17600.00000000873,10239.99999999869,1.3728813559323885,0.26068623398101587,109.31677018638963,63.35403726708074,7119.999999998981,11039.999999997963,15116.41174038659
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.93528101),2,34,17.17171717171717,23,11,12,-9999.999999999272,164,17360.000000009313,9999.999999999272,1.3677966101696888,0.2556014882183162,105.85365853664216,64.02439024390245,8159.999999997672,9999.999999999272,15055.36089293001
(13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.60099524),2,25,12.626262626262626,17,8,9,-10719.999999998981,173,18080.000000009022,10719.999999998981,1.3476923076924812,0.23549718574110856,104.50867052028336,62.42774566473989,9359.999999996944,8800.0,15001.298311443647
(13a_features_tempo_real__last__preco <= 27961.495) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.88386897),2,47,23.737373737373737,28,19,9,-10159.9999999984,151,17520.00000000844,10159.9999999984,1.4055555555557508,0.29336043360437825,116.02649006628106,64.23841059602648,6799.999999997817,11359.999999999127,14998.016260160723
