dna_id,classe_dna,sequencia,hora,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,taxa_acerto_alvo_pct
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,2,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,8,1,1,0,100.0,20.654329147389294,inf,1.0,0,0.0,1,0.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,10,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,11,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,100.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,12,2,1,1,50.0,9.452865480086611,1.0,0.0,1,1.0,2,50.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,13,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,100.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,14,2,0,2,0.0,0.0,0.0,-1.0,2,2.0,2,100.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,15,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,16,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,19,2,2,0,100.0,34.23719528896193,inf,1.0,0,0.0,2,0.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,21,2,1,1,50.0,9.452865480086611,1.0,0.0,1,1.0,2,50.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,22,2,0,2,0.0,0.0,0.0,-1.0,2,2.0,1,100.0
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,23,1,1,0,100.0,20.654329147389294,inf,1.0,0,0.0,1,0.0
DNA_098752346F64,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_CAIU,16,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,0.0
DNA_098752346F64,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_CAIU,20,1,1,0,100.0,20.654329147389294,inf,1.0,0,0.0,1,100.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,1,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,4,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,5,2,1,1,50.0,9.452865480086611,1.0,0.0,1,1.0,2,50.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,9,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,10,1,1,0,100.0,20.654329147389294,inf,1.0,0,0.0,1,0.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,11,3,2,1,66.66666666666667,20.765495512648787,2.0,0.3333333333333333,1,1.0,2,33.333333333333336
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,13,2,1,1,50.0,9.452865480086611,1.0,0.0,1,1.0,1,50.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,15,3,1,2,33.333333333333336,6.149031527616051,0.5,-0.3333333333333333,2,2.0,2,66.66666666666667
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,16,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,20,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,21,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,23,1,1,0,100.0,20.654329147389294,inf,1.0,0,0.0,1,0.0
DNA_0B7B4EA435EA,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,9,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0B7B4EA435EA,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,11,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0B7B4EA435EA,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,12,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0B7B4EA435EA,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,13,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0B7B4EA435EA,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,15,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0B7B4EA435EA,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,19,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
