dna_id,classe_dna,sequencia,lado_norm,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,taxa_acerto_alvo_pct
DNA_2F81D1AF8F8D,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU,VENDA,3,1,2,33.333333333333336,6.149031527616051,0.5,-0.3333333333333333,1,1.0,2,66.66666666666667
DNA_34233F371B93,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,VENDA,10,1,9,10.0,1.7875749515721129,0.1111111111111111,-0.8,7,8.0,4,90.0
DNA_34D1682B82C7,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,COMPRA,1,1,0,100.0,20.654329147389294,inf,1.0,0,0.0,1,100.0
DNA_34D1682B82C7,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,VENDA,8,5,3,62.5,30.573785458380183,1.6666666666666667,0.25,2,2.0,3,62.5
DNA_354C40710B58,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,COMPRA,8,4,4,50.0,21.52125268244419,1.0,0.0,4,4.0,3,50.0
DNA_354C40710B58,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,VENDA,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,0.0
DNA_358D498AE72E,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,COMPRA,9,5,4,55.55555555555556,26.664734574402967,1.25,0.1111111111111111,3,3.0,3,55.55555555555556
DNA_369172CCFB17,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,VENDA,6,1,5,16.666666666666668,3.005258587173029,0.2,-0.6666666666666666,5,5.0,4,83.33333333333333
DNA_36F144CF65A6,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,VENDA,10,2,8,20.0,5.668094798069328,0.25,-0.6,7,7.0,4,80.0
DNA_370E5ECFD599,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL,COMPRA,12,3,9,25.0,8.894003962896138,0.3333333333333333,-0.5,3,7.0,4,75.0
DNA_37F259E0AF51,DNA_GAIN,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,COMPRA,2,2,0,100.0,34.23719528896193,inf,1.0,0,0.0,2,100.0
DNA_37F259E0AF51,DNA_GAIN,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,VENDA,2,2,0,100.0,34.23719528896193,inf,1.0,0,0.0,2,100.0
DNA_37FF78005FE9,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,COMPRA,11,2,9,18.181818181818183,5.136660067100062,0.2222222222222222,-0.6363636363636364,4,7.0,4,81.81818181818181
