variavel,elegivel_regra,motivo
13a_features_tempo_real__post60__adv_delta_spread_minimo_15s_30s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_delta_spread_minimo_15s_30s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_delta_spread_minimo_15s_30s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_ratio_volatilidade_close_pontos_15s_60s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_ratio_volatilidade_close_pontos_15s_60s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_ratio_volatilidade_close_pontos_15s_60s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_ratio_volatilidade_close_pontos_15s_60s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_z_pre_15s_spread_medio__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_z_pre_15s_spread_medio__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_z_pre_15s_spread_medio__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__adv_z_pre_15s_spread_medio__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__pre_15s_spread_medio__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__pre_15s_spread_medio__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__pre_15s_spread_medio__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__pre_15s_spread_medio__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post60__pre_15s_spread_minimo__delta,False,FUTURO_OU_RESULTADO
