escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
LADO,,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_CAIU,1031,7,4,11,1.066925,1.732673,0.637959,63.636364,36.363636,1.623987,0.597941,1.094715,0.960979,FRACA,42.5106
LADO,,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,1031,10,6,16,1.551891,2.475248,0.956938,62.5,37.5,1.594988,0.616627,1.51831,0.93409,FRACA,42.4869
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,612,7,4,11,1.797386,2.868852,1.086957,63.636364,36.363636,1.596125,0.604743,1.781896,0.939185,FRACA,42.3598
LADO,,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS,1123,9,5,14,1.246661,1.914894,0.765697,64.285714,35.714286,1.536018,0.614198,1.149197,0.886724,FRACA,42.0372
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1284,9,5,14,1.090343,1.675978,0.669344,64.285714,35.714286,1.537111,0.613884,1.006634,0.886524,FRACA,41.9511
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,5,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,1284,9,5,14,1.090343,1.675978,0.669344,64.285714,35.714286,1.537111,0.613884,1.006634,0.886524,FRACA,41.9511
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1284,9,5,14,1.090343,1.675978,0.669344,64.285714,35.714286,1.537111,0.613884,1.006634,0.886524,FRACA,41.9511
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,672,9,5,14,2.083333,3.071672,1.319261,64.285714,35.714286,1.474403,0.633245,1.752411,0.821402,FRACA,40.9306
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,612,11,7,18,2.941176,4.508197,1.902174,61.111111,38.888889,1.532787,0.646739,2.606023,0.864524,FRACA,40.804
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,612,8,5,13,2.124183,3.278689,1.358696,61.538462,38.461538,1.543506,0.639632,1.919993,0.865149,FRACA,39.6109
