"Arquivo","Tamanho_MB","LastWriteTime","FullName"
"modulo10_ranking_final.csv","0,07","27/07/2026 20:32:39","C:\Nas100_dashboard\C7_LAB\relatorios\modulo10_ranking_final.csv"
"modulo10c_resumo.csv","0,02","27/07/2026 20:32:31","C:\Nas100_dashboard\C7_LAB\relatorios\modulo10c_resumo.csv"
"modulo10b_resumo.csv","0,01","27/07/2026 19:56:40","C:\Nas100_dashboard\C7_LAB\relatorios\modulo10b_resumo.csv"
"modulo10a_resumo.csv","0,01","27/07/2026 19:51:00","C:\Nas100_dashboard\C7_LAB\relatorios\modulo10a_resumo.csv"
"modulo09_resumo_lados.csv","0","27/07/2026 16:23:01","C:\Nas100_dashboard\C7_LAB\relatorios\modulo09_resumo_lados.csv"
"modulo09_resumo_clusters.csv","0","27/07/2026 16:23:01","C:\Nas100_dashboard\C7_LAB\relatorios\modulo09_resumo_clusters.csv"
"modulo09_ranking_setups.csv","0,06","27/07/2026 16:23:01","C:\Nas100_dashboard\C7_LAB\relatorios\modulo09_ranking_setups.csv"
"modulo08_resumo_lados.csv","0","26/07/2026 21:04:57","C:\Nas100_dashboard\C7_LAB\relatorios\modulo08_resumo_lados.csv"
"modulo08_resumo_clusters.csv","0","26/07/2026 21:04:57","C:\Nas100_dashboard\C7_LAB\relatorios\modulo08_resumo_clusters.csv"
"modulo08_ranking_candidatos.csv","0,29","26/07/2026 21:04:57","C:\Nas100_dashboard\C7_LAB\relatorios\modulo08_ranking_candidatos.csv"
"modulo07_resumo_clusters.csv","0","26/07/2026 20:49:44","C:\Nas100_dashboard\C7_LAB\relatorios\modulo07_resumo_clusters.csv"
"modulo07_ranking_por_cluster.csv","0,34","26/07/2026 20:49:44","C:\Nas100_dashboard\C7_LAB\relatorios\modulo07_ranking_por_cluster.csv"
"modulo07_ranking_geral.csv","8,57","26/07/2026 20:49:44","C:\Nas100_dashboard\C7_LAB\relatorios\modulo07_ranking_geral.csv"
"modulo07a_resumo.csv","0","26/07/2026 20:43:34","C:\Nas100_dashboard\C7_LAB\relatorios\modulo07a_resumo.csv"
"modulo06_resumo.csv","0","26/07/2026 19:57:56","C:\Nas100_dashboard\C7_LAB\relatorios\modulo06_resumo.csv"
"modulo06_features_por_cluster.csv","0,01","26/07/2026 19:57:56","C:\Nas100_dashboard\C7_LAB\relatorios\modulo06_features_por_cluster.csv"
"modulo06_perfil_clusters_lado.csv","0","26/07/2026 19:57:56","C:\Nas100_dashboard\C7_LAB\relatorios\modulo06_perfil_clusters_lado.csv"
"modulo06_perfil_clusters.csv","0","26/07/2026 19:57:56","C:\Nas100_dashboard\C7_LAB\relatorios\modulo06_perfil_clusters.csv"
"modulo06_avaliacao_modelos.csv","0,01","26/07/2026 19:57:56","C:\Nas100_dashboard\C7_LAB\relatorios\modulo06_avaliacao_modelos.csv"
"modulo06_avaliacao_k.csv","0","26/07/2026 19:23:55","C:\Nas100_dashboard\C7_LAB\relatorios\modulo06_avaliacao_k.csv"
"modulo05_resumo.csv","0","26/07/2026 19:09:14","C:\Nas100_dashboard\C7_LAB\relatorios\modulo05_resumo.csv"
"modulo05_atributos_criados.csv","0,01","26/07/2026 19:09:14","C:\Nas100_dashboard\C7_LAB\relatorios\modulo05_atributos_criados.csv"
"modulo04_resumo.csv","0","26/07/2026 18:45:26","C:\Nas100_dashboard\C7_LAB\relatorios\modulo04_resumo.csv"
"modulo04_features_rejeitadas.csv","0","26/07/2026 18:45:26","C:\Nas100_dashboard\C7_LAB\relatorios\modulo04_features_rejeitadas.csv"
"modulo04_features_selecionadas.csv","0","26/07/2026 18:45:26","C:\Nas100_dashboard\C7_LAB\relatorios\modulo04_features_selecionadas.csv"
"modulo04_ranking_explosao.csv","0,03","26/07/2026 18:45:26","C:\Nas100_dashboard\C7_LAB\relatorios\modulo04_ranking_explosao.csv"
"modulo04_ranking_multiclasse.csv","0,02","26/07/2026 18:45:26","C:\Nas100_dashboard\C7_LAB\relatorios\modulo04_ranking_multiclasse.csv"
"modulo035_resumo_diario.csv","0,01","26/07/2026 18:13:26","C:\Nas100_dashboard\C7_LAB\relatorios\modulo035_resumo_diario.csv"
"modulo035_resumo.csv","0","26/07/2026 18:13:26","C:\Nas100_dashboard\C7_LAB\relatorios\modulo035_resumo.csv"
"modulo03_resumo_diario.csv","0,01","26/07/2026 16:44:53","C:\Nas100_dashboard\C7_LAB\relatorios\modulo03_resumo_diario.csv"
"modulo03_resumo_eventos.csv","0","26/07/2026 16:44:53","C:\Nas100_dashboard\C7_LAB\relatorios\modulo03_resumo_eventos.csv"
"modulo025_dias_excluidos.csv","0","26/07/2026 16:02:13","C:\Nas100_dashboard\C7_LAB\relatorios\modulo025_dias_excluidos.csv"
"modulo025_resumo_arquivos.csv","0","26/07/2026 16:02:13","C:\Nas100_dashboard\C7_LAB\relatorios\modulo025_resumo_arquivos.csv"
"modulo025_resumo_diario.csv","0","26/07/2026 16:02:13","C:\Nas100_dashboard\C7_LAB\relatorios\modulo025_resumo_diario.csv"
"diagnostico_exports_quantower_amostras.csv","0,01","26/07/2026 15:41:26","C:\Nas100_dashboard\archive_export\diagnostico_exports_quantower_amostras.csv"
"diagnostico_exports_quantower_diario.csv","0","26/07/2026 15:41:26","C:\Nas100_dashboard\archive_export\diagnostico_exports_quantower_diario.csv"
"diagnostico_exports_quantower_resumo.csv","0","26/07/2026 15:41:26","C:\Nas100_dashboard\archive_export\diagnostico_exports_quantower_resumo.csv"
"quantower_export_20260726_151506_snapshot.csv","75,32","26/07/2026 14:30:51","C:\Nas100_dashboard\archive_export\quantower_export_20260726_151506_snapshot.csv"
"modulo02_movimentos.csv","0,19","24/07/2026 19:28:32","C:\Nas100_dashboard\C7_LAB\output\modulo02_movimentos.csv"
"modulo02_amostra_estrutural.csv","1,59","24/07/2026 19:28:32","C:\Nas100_dashboard\C7_LAB\output\modulo02_amostra_estrutural.csv"
"modulo01_inventario_arquivos.csv","0","24/07/2026 19:08:32","C:\Nas100_dashboard\C7_LAB\output\modulo01_inventario_arquivos.csv"
"diagnostico_reprovados_modulo12.csv","0,01","24/07/2026 13:52:30","C:\Nas100_dashboard\C7_LAB\output\diagnostico_reprovados_modulo12.csv"
