variaveis,regra,amostra,taxa_alvo_300_120s,taxa_base,lift
4,_f_spread<=1.25 E _f_saldo<=-17 E _f_velocidade>=0.205388 E _f_ticks_s<=72.5852,53,0.8113207547169812,0.6188781756963575,1.3109538946079147
4,_f_spread<=1.25 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,53,0.8113207547169812,0.6188781756963575,1.3109538946079147
4,_f_saldo>=0 E _f_razao_fluxo>=1 E _f_aceleracao<=-0.552272 E _f_ticks_s>=72.5852,37,0.8108108108108109,0.6188781756963575,1.3101299135302227
4,_f_saldo<=0 E _f_razao_fluxo<=1 E _f_aceleracao<=-0.552272 E _f_ticks_s>=72.5852,37,0.8108108108108109,0.6188781756963575,1.3101299135302227
4,_f_delta>=-16 E _f_saldo<=-17 E _f_razao_fluxo<=1.33364 E _f_score<=47,58,0.8103448275862069,0.6188781756963575,1.309376965304056
4,_f_spread<=1 E _f_saldo<=-17 E _f_velocidade>=0.205388 E _f_ticks_s<=72.5852,21,0.8095238095238095,0.6188781756963575,1.308050342238905
4,_f_spread>=1.75 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,21,0.8095238095238095,0.6188781756963575,1.308050342238905
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_aceleracao>=0.543681 E _f_ticks_s>=153.857,21,0.8095238095238095,0.6188781756963575,1.308050342238905
4,_f_spread>=1.25 E _f_razao_fluxo<=0.741693 E _f_velocidade<=0 E _f_ticks_s>=153.857,47,0.8085106382978723,0.6188781756963575,1.306413232924463
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857 E _f_score<=77,73,0.8082191780821918,0.6188781756963575,1.3059422836696237
4,_f_spread<=1 E _f_delta<=0 E _f_saldo>=0 E _f_aceleracao>=0.543681,26,0.8076923076923077,0.6188781756963575,1.3050909523243373
4,_f_spread<=1 E _f_delta<=0 E _f_razao_fluxo<=1 E _f_aceleracao>=0.543681,26,0.8076923076923077,0.6188781756963575,1.3050909523243373
4,_f_spread>=1 E _f_delta<=-16 E _f_ticks_s>=153.857 E _f_score<=47,31,0.8064516129032258,0.6188781756963575,1.3030862043176945
4,_f_spread>=1.75 E _f_velocidade>=0 E _f_aceleracao<=-0.552272 E _f_score>=77,31,0.8064516129032258,0.6188781756963575,1.3030862043176945
4,_f_delta>=16 E _f_velocidade<=-0.216667 E _f_aceleracao>=0.543681 E _f_score>=77,31,0.8064516129032258,0.6188781756963575,1.3030862043176945
4,_f_saldo>=19 E _f_velocidade<=-0.216667 E _f_aceleracao>=0.543681 E _f_score>=77,31,0.8064516129032258,0.6188781756963575,1.3030862043176945
4,_f_saldo<=-17 E _f_razao_fluxo<=1.33364 E _f_velocidade>=0 E _f_score>=77,67,0.8059701492537313,0.6188781756963575,1.302308242404669
4,_f_spread>=1.25 E _f_delta<=0 E _f_ticks_s>=153.857 E _f_score<=47,108,0.8055555555555556,0.6188781756963575,1.3016383307573416
4,_f_spread>=1.75 E _f_velocidade<=-0.216667 E _f_aceleracao>=-0.000831627 E _f_ticks_s>=153.857,72,0.8055555555555556,0.6188781756963575,1.3016383307573416
4,_f_spread>=1.25 E _f_delta<=0 E _f_saldo>=0 E _f_ticks_s>=153.857,36,0.8055555555555556,0.6188781756963575,1.3016383307573416
4,_f_spread>=1.25 E _f_delta<=0 E _f_razao_fluxo<=1 E _f_ticks_s>=153.857,36,0.8055555555555556,0.6188781756963575,1.3016383307573416
4,_f_saldo<=0 E _f_velocidade>=0.205388 E _f_ticks_s>=153.857 E _f_score<=47,77,0.8051948051948052,0.6188781756963575,1.3010554206226541
4,_f_razao_fluxo>=1 E _f_velocidade>=0.205388 E _f_ticks_s>=153.857 E _f_score<=47,77,0.8051948051948052,0.6188781756963575,1.3010554206226541
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857 E _f_score<=61,46,0.8043478260869565,0.6188781756963575,1.2996868490020832
4,_f_delta>=-16 E _f_saldo<=-17 E _f_ticks_s>=72.5852 E _f_score<=47,51,0.803921568627451,0.6188781756963575,1.2989980907355214
4,_f_spread>=1.75 E _f_saldo>=19 E _f_ticks_s>=153.857 E _f_score<=61,66,0.803030303030303,0.6188781756963575,1.2975579598145286
4,_f_spread>=1.25 E _f_saldo<=-17 E _f_razao_fluxo<=1.33364 E _f_score<=47,81,0.8024691358024691,0.6188781756963575,1.2966512107161257
4,_f_spread<=1.25 E _f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=72.5852,105,0.8,0.6188781756963575,1.292661514683153
4,_f_spread<=1 E _f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=72.5852,80,0.8,0.6188781756963575,1.292661514683153
4,_f_saldo<=-17 E _f_razao_fluxo<=1.33364 E _f_aceleracao<=0.543681 E _f_score<=47,80,0.8,0.6188781756963575,1.292661514683153
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_aceleracao<=-0.000831627 E _f_ticks_s>=153.857,45,0.8,0.6188781756963575,1.292661514683153
4,_f_delta>=16 E _f_aceleracao>=-0.552272 E _f_ticks_s>=153.857 E _f_score<=47,35,0.8,0.6188781756963575,1.292661514683153
4,_f_saldo<=-17 E _f_velocidade<=0.205388 E _f_ticks_s>=153.857 E _f_score<=47,35,0.8,0.6188781756963575,1.292661514683153
4,_f_saldo<=-17 E _f_aceleracao>=-0.000831627 E _f_ticks_s>=153.857 E _f_score<=47,35,0.8,0.6188781756963575,1.292661514683153
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_aceleracao<=-0.552272 E _f_ticks_s>=153.857,30,0.8,0.6188781756963575,1.292661514683153
4,_f_razao_fluxo>=1.33364 E _f_aceleracao<=-0.000831627 E _f_ticks_s>=153.857 E _f_score<=61,30,0.8,0.6188781756963575,1.292661514683153
4,_f_spread>=1 E _f_saldo>=0 E _f_razao_fluxo>=1 E _f_ticks_s>=153.857,25,0.8,0.6188781756963575,1.292661514683153
4,_f_spread>=1 E _f_saldo<=0 E _f_razao_fluxo<=1 E _f_ticks_s>=153.857,25,0.8,0.6188781756963575,1.292661514683153
4,_f_spread<=1 E _f_delta>=0 E _f_saldo<=0 E _f_aceleracao<=-0.552272,20,0.8,0.6188781756963575,1.292661514683153
4,_f_spread<=1 E _f_delta>=0 E _f_razao_fluxo>=1 E _f_aceleracao<=-0.552272,20,0.8,0.6188781756963575,1.292661514683153
4,_f_spread<=1.25 E _f_saldo<=-17 E _f_velocidade>=0.205388 E _f_ticks_s<=42.0552,20,0.8,0.6188781756963575,1.292661514683153
4,_f_delta<=0 E _f_saldo>=0 E _f_ticks_s>=153.857 E _f_score>=61,20,0.8,0.6188781756963575,1.292661514683153
4,_f_delta<=0 E _f_razao_fluxo<=1 E _f_ticks_s>=153.857 E _f_score>=61,20,0.8,0.6188781756963575,1.292661514683153
4,_f_spread>=1.25 E _f_saldo>=0 E _f_razao_fluxo>=1 E _f_ticks_s>=153.857,15,0.8,0.6188781756963575,1.292661514683153
4,_f_spread>=1.25 E _f_saldo<=0 E _f_razao_fluxo<=1 E _f_ticks_s>=153.857,15,0.8,0.6188781756963575,1.292661514683153
4,_f_delta<=-16 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857 E _f_score<=47,10,0.8,0.6188781756963575,1.292661514683153
4,_f_delta<=16 E _f_razao_fluxo<=0.741693 E _f_velocidade<=0.205388 E _f_ticks_s>=153.857,10,0.8,0.6188781756963575,1.292661514683153
4,_f_saldo<=-17 E _f_razao_fluxo<=1.33364 E _f_ticks_s<=42.0552 E _f_score<=47,10,0.8,0.6188781756963575,1.292661514683153
4,_f_saldo<=19 E _f_razao_fluxo<=0.741693 E _f_aceleracao<=-0.000831627 E _f_ticks_s>=153.857,10,0.8,0.6188781756963575,1.292661514683153
4,_f_razao_fluxo>=1.33364 E _f_velocidade<=-0.216667 E _f_aceleracao<=-0.000831627 E _f_score<=47,10,0.8,0.6188781756963575,1.292661514683153
4,_f_saldo>=-17 E _f_razao_fluxo>=1 E _f_velocidade>=0.205388 E _f_ticks_s>=153.857,183,0.7978142076502732,0.6188781756963575,1.2891296526211773
4,_f_spread>=1.75 E _f_velocidade>=0 E _f_ticks_s>=153.857 E _f_score<=47,74,0.7972972972972973,0.6188781756963575,1.2882944149713855
4,_f_razao_fluxo>=1.33364 E _f_aceleracao<=0.543681 E _f_ticks_s>=153.857 E _f_score<=61,64,0.796875,0.6188781756963575,1.287612055641422
