reconstructed_dna_id,rank_reconstruction,source_type,source_candidate_id,source_interaction_id,component_count,components_present_in_candidates,gene_ids,gene_signature,families,distinct_families,historias,gain,stop,taxa_gain_pct,taxa_gain_base_pct,lift_gain,fisher_p,bootstrap_ic_inferior_pct,interaction_score_0_100,component_score_mean_0_100,coherence_score_0_100,parsimony_score_0_100,reconstruction_score_0_100,evidence_band,scientific_status,operational_status
RDNA_BC544B9DFAE0,1811,TRIPLET,CTRIP_4658D088D535,TRIP_32DFA5B403E5,3,1,GENE_528B08C898F3|GENE_8FC3D8F1510A|GENE_F9E633166998,GENE_528B08C898F3 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_F9E633166998,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BC80C35C43AE,1812,TRIPLET,CTRIP_89C08416C8B5,TRIP_23AA8C56D556,3,1,GENE_3EBC37E5543F|GENE_69DAB69CABB1|GENE_8FC3D8F1510A,GENE_3EBC37E5543F + GENE_69DAB69CABB1 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BC96DC164AFF,1813,TRIPLET,CTRIP_2B206E292261,TRIP_8CFD15B00E13,3,1,GENE_375C727503E6|GENE_67B04509C20C|GENE_8FC3D8F1510A,GENE_375C727503E6 + GENE_67B04509C20C + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BCC778D5D4FB,1814,TRIPLET,CTRIP_23E34DA03EBC,TRIP_6728F5113DA2,3,1,GENE_375C727503E6|GENE_39C0D2FA8D0F|GENE_8FC3D8F1510A,GENE_375C727503E6 + GENE_39C0D2FA8D0F + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BD01FE1A5E6E,1815,TRIPLET,CTRIP_D3A302F52375,TRIP_1A5A4E53D8CE,3,1,GENE_8FC3D8F1510A|GENE_9BAFBDF14400|GENE_B5B05E989AB1,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_9BAFBDF14400 + GENE_B5B05E989AB1,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BD153DC14B00,1816,TRIPLET,CTRIP_4A66029A346E,TRIP_29DE96403B24,3,1,GENE_1B7B64EFC091|GENE_4A0FB2BB16B7|GENE_8FC3D8F1510A,GENE_1B7B64EFC091 + GENE_4A0FB2BB16B7 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BD301E8747BC,1817,TRIPLET,CTRIP_66BFB92CB275,TRIP_5F3A7365BECB,3,1,GENE_1B37942BEB41|GENE_8FC3D8F1510A|GENE_DC7ACBC144F9,GENE_1B37942BEB41 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_DC7ACBC144F9,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BDE60100E458,1818,TRIPLET,CTRIP_F7B4E44D293F,TRIP_18ACC9C9829D,3,1,GENE_375C727503E6|GENE_8FC3D8F1510A|GENE_B72467C5FDE9,GENE_375C727503E6 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_B72467C5FDE9,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BDF06E5DDBB9,1819,TRIPLET,CTRIP_AAED2128D8A7,TRIP_16F6FE486AC1,3,1,GENE_8FC3D8F1510A|GENE_B0AD99872F63|GENE_BAEE17666C06,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_B0AD99872F63 + GENE_BAEE17666C06,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BEB7F4B3B4B4,1820,TRIPLET,CTRIP_060EBA8DEACB,TRIP_6D799D0B1A9B,3,1,GENE_375C727503E6|GENE_8FC3D8F1510A|GENE_9A65B167E88D,GENE_375C727503E6 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_9A65B167E88D,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BF247BDD474C,1821,TRIPLET,CTRIP_2071CD2D57EF,TRIP_1766AB8DF2B7,3,1,GENE_3EBC37E5543F|GENE_8FC3D8F1510A|GENE_EFF8628D99DA,GENE_3EBC37E5543F + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_EFF8628D99DA,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BFF8567E4133,1822,TRIPLET,CTRIP_C2676F43E1B8,TRIP_7C12CABBF524,3,1,GENE_1B37942BEB41|GENE_8FC3D8F1510A|GENE_D849FDF0A923,GENE_1B37942BEB41 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_D849FDF0A923,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
